percentile,quality
0,0.0012084519
1,0.003391018214
2,0.004799493662
3,0.0058126063669999995
4,0.0071568564
5,0.008033968320000001
6,0.0089737428
7,0.009529695847000001
8,0.0106539484
9,0.011425670053
10,0.012509263470000004
11,0.013584611566
12,0.0145594776
13,0.01570241750100002
14,0.017230300080000007
15,0.018220120200000002
16,0.019319204708000002
17,0.020874106381
18,0.022527400526
19,0.024627273962000002
20,0.0266079716
21,0.029058230783
22,0.0330016352
23,0.0347689725
24,0.038049608496
25,0.0416001007
26,0.0466348566
27,0.05172198853200001
28,0.0565309413
29,0.0626778603
30,0.06905287728999998
31,0.0745193288
32,0.0797584206
33,0.09145132884300027
34,0.10960787489800013
35,0.12087956068999998
36,0.149252350924
37,0.16700645898100042
38,0.19814308971399985
39,0.235830612203
40,0.2877759277800017
41,0.3322093189
42,0.37836476383800005
43,0.442222625
44,0.479643808568
45,0.5175926685
46,0.5593870401660002
47,0.6004564762
48,0.6515528106759992
49,0.6780165016519998
50,0.6901364923
51,0.711749876114
52,0.7308104634
53,0.750045507556
54,0.765193522
55,0.77932772934
56,0.7975852227280001
57,0.8067634106
58,0.8208151459299999
59,0.831846308133
60,0.84163827898
61,0.8505496979
62,0.859863119156
63,0.8683072925
64,0.8770587444
65,0.8838649868500001
66,0.8925181627
67,0.8982999921
68,0.9032370448
69,0.9096216559
70,0.9142983913099999
71,0.919605554929
72,0.924733402704
73,0.930607745043
74,0.935857824074
75,0.938651591525
76,0.942967948908
77,0.948143578758
78,0.951833707082
79,0.955563759832
80,0.95919134616
81,0.9626655173580001
82,0.9659832441899999
83,0.968835363401
84,0.971430223024
85,0.974447661625
86,0.9768237281300001
87,0.9782669544
88,0.980758965
89,0.9833845096630001
90,0.98544644119
91,0.987183207837
92,0.98919740674
93,0.9911155701
94,0.992963293818
95,0.9946931005
96,0.9958359551639999
97,0.9970642924
98,0.998250207936
99,0.999362402591
100,0.9999426603
